"__leidenCluster","name","selected","shared name"
"5","ENSG00000007866","false","ENSG00000007866"
"1","ENSG00000154001","false","ENSG00000154001"
"3","ENSG00000106462","false","ENSG00000106462"
"5","ENSG00000141646","false","ENSG00000141646"
"2","ENSG00000163728","false","ENSG00000163728"
"1","ENSG00000172869","false","ENSG00000172869"
"2","ENSG00000147140","false","ENSG00000147140"
"1","ENSG00000135333","false","ENSG00000135333"
"1","ENSG00000197386","false","ENSG00000197386"
"1","ENSG00000072415","false","ENSG00000072415"
"5","ENSG00000007372","false","ENSG00000007372"
"1","ENSG00000139190","false","ENSG00000139190"
"1","ENSG00000143878","false","ENSG00000143878"
"2","ENSG00000066044","false","ENSG00000066044"
"5","ENSG00000166949","false","ENSG00000166949"
"1","ENSG00000182606","false","ENSG00000182606"
"1","ENSG00000025039","false","ENSG00000025039"
"1","ENSG00000151136","false","ENSG00000151136"
"5","ENSG00000175387","false","ENSG00000175387"
"1","ENSG00000105514","false","ENSG00000105514"
"5","ENSG00000008405","false","ENSG00000008405"
"4","ENSG00000143207","false","ENSG00000143207"
"1","ENSG00000185666","false","ENSG00000185666"
"4","ENSG00000187555","false","ENSG00000187555"
"3","ENSG00000148835","false","ENSG00000148835"
"5","ENSG00000143437","false","ENSG00000143437"
"2","ENSG00000135316","false","ENSG00000135316"
"3","ENSG00000124151","false","ENSG00000124151"
"5","ENSG00000180530","false","ENSG00000180530"
"3","ENSG00000196199","false","ENSG00000196199"
"3","ENSG00000142453","false","ENSG00000142453"
"3","ENSG00000184678","false","ENSG00000184678"
"2","ENSG00000181472","false","ENSG00000181472"
"4","ENSG00000166167","false","ENSG00000166167"
"5","ENSG00000169856","false","ENSG00000169856"
"4","ENSG00000011485","false","ENSG00000011485"
"5","ENSG00000151623","false","ENSG00000151623"
"2","ENSG00000011304","false","ENSG00000011304"
"1","ENSG00000112640","false","ENSG00000112640"
"1","ENSG00000127585","false","ENSG00000127585"
"3","ENSG00000153922","false","ENSG00000153922"
"3","ENSG00000108557","false","ENSG00000108557"
"4","ENSG00000173692","false","ENSG00000173692"
"2","ENSG00000102081","false","ENSG00000102081"
"5","ENSG00000109819","false","ENSG00000109819"
"3","ENSG00000005339","false","ENSG00000005339"
"2","ENSG00000167658","false","ENSG00000167658"
"5","ENSG00000134852","false","ENSG00000134852"
"3","ENSG00000141027","false","ENSG00000141027"
"5","ENSG00000104447","false","ENSG00000104447"
"3","ENSG00000153147","false","ENSG00000153147"
"3","ENSG00000140396","false","ENSG00000140396"
"3","ENSG00000004487","false","ENSG00000004487"
"5","ENSG00000120837","false","ENSG00000120837"
"3","ENSG00000137947","false","ENSG00000137947"
"1","ENSG00000115183","false","ENSG00000115183"
"3","ENSG00000173120","false","ENSG00000173120"
"1","ENSG00000149403","false","ENSG00000149403"
"1","ENSG00000102452","false","ENSG00000102452"
"4","ENSG00000139842","false","ENSG00000139842"
"3","ENSG00000171316","false","ENSG00000171316"
"4","ENSG00000005810","false","ENSG00000005810"
"3","ENSG00000288825","false","ENSG00000288825"
"2","ENSG00000114416","false","ENSG00000114416"
"5","ENSG00000173276","false","ENSG00000173276"
"5","ENSG00000133794","false","ENSG00000133794"
"3","ENSG00000088305","false","ENSG00000088305"
"1","ENSG00000139287","false","ENSG00000139287"
