Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
SNCAIP,ENSG00000064692,0.8021348588146126,0.1978651411853874,5,3.0
MRGPRX3,ENSG00000179826,0.8021842004468257,0.1978157995531742,11,
EHF,ENSG00000135373,0.8022250310812538,0.1977749689187462,11,
EMC9,ENSG00000100908,0.8022685782306846,0.1977314217693153,14,
MT-ATP6,ENSG00000198899,0.8023312217317384,0.1976687782682615,MT,
OR2A4,ENSG00000180658,0.802361681287971,0.197638318712029,6,
DNAJB9,ENSG00000128590,0.802379482995329,0.197620517004671,7,
UTP6,ENSG00000108651,0.802419156336098,0.197580843663902,17,
LACC1,ENSG00000179630,0.8024310527316668,0.1975689472683332,13,
UBN2,ENSG00000157741,0.8024822953655282,0.1975177046344718,7,2.0
FARSB,ENSG00000116120,0.8025346967297852,0.1974653032702148,2,
NME8,ENSG00000086288,0.8026501480716831,0.1973498519283169,7,
ILKAP,ENSG00000132323,0.8026618746668269,0.197338125333173,2,
SLC25A16,ENSG00000122912,0.8026755485341045,0.1973244514658954,10,
ZCCHC9,ENSG00000131732,0.802750294876843,0.197249705123157,5,
KDSR,ENSG00000119537,0.8027856331967129,0.197214366803287,18,
PAXIP1,ENSG00000157212,0.8028066647960777,0.1971933352039223,7,
HIGD1B,ENSG00000131097,0.8028475697135041,0.1971524302864959,17,
PRPF18,ENSG00000165630,0.802851027594605,0.1971489724053949,10,
SYN2,ENSG00000157152,0.8028715074273467,0.1971284925726533,3,2.0
GUCA1B,ENSG00000112599,0.8029205441153626,0.1970794558846373,6,
UCP2,ENSG00000175567,0.8029548893667879,0.197045110633212,11,
SOX17,ENSG00000164736,0.8029705851527853,0.1970294148472147,8,
SLC1A5,ENSG00000105281,0.8030284735399706,0.1969715264600293,19,
PTP4A3,ENSG00000184489,0.8030538828716831,0.1969461171283169,8,
IKZF4,ENSG00000123411,0.8030873843421998,0.1969126156578001,12,
DAPK3,ENSG00000167657,0.8030883946630575,0.1969116053369425,19,
GIMAP5,ENSG00000196329,0.8030989012491014,0.1969010987508986,7,
RPL9,ENSG00000163682,0.8031190088386467,0.1968809911613532,4,
CLPX,ENSG00000166855,0.8031342949539875,0.1968657050460125,15,
GALNT3,ENSG00000115339,0.8031569614753445,0.1968430385246554,2,
ROPN1B,ENSG00000114547,0.8031968058538137,0.1968031941461862,3,
CELF6,ENSG00000140488,0.803214096937709,0.196785903062291,15,2.0
ZNF383,ENSG00000188283,0.8032509987457331,0.1967490012542668,19,
PDAP1,ENSG00000106244,0.8033376397957892,0.1966623602042107,7,
MRLN,ENSG00000227877,0.8034001585080688,0.1965998414919312,10,
DOCK4,ENSG00000128512,0.8034120505100688,0.1965879494899311,7,2.0
LNPK,ENSG00000144320,0.8034263266887258,0.1965736733112742,2,
NFYC,ENSG00000066136,0.8034305879267231,0.1965694120732769,1,
PAOX,ENSG00000148832,0.8034373946788115,0.1965626053211885,10,
COX15,ENSG00000014919,0.8034509636941145,0.1965490363058855,10,
