Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
CLEC4G,ENSG00000182566,0.9711214182736648,0.0288785817263351,19,
DUXA,ENSG00000258873,0.9711296253742888,0.028870374625711,19,
SPINT4,ENSG00000149651,0.9711438745674308,0.0288561254325692,20,
GPR20,ENSG00000204882,0.971164296394716,0.0288357036052841,8,
GPHB5,ENSG00000179600,0.9711699793374652,0.0288300206625348,14,
OR10C1,ENSG00000206474,0.9711762720159702,0.0288237279840298,6,
CCL20,ENSG00000115009,0.9711771926618392,0.0288228073381608,2,
C10orf95,ENSG00000120055,0.971187107909326,0.0288128920906739,10,
ASAH2B,ENSG00000204147,0.971189438108308,0.028810561891692,10,
GLRX2,ENSG00000023572,0.9711894783523372,0.0288105216476627,1,
CDKN1A,ENSG00000124762,0.9712022486617864,0.0287977513382134,6,
S100A13,ENSG00000189171,0.9712163378766104,0.0287836621233896,1,
CLDN24,ENSG00000185758,0.9712194692933348,0.0287805307066653,4,
MPIG6B,ENSG00000204420,0.9712207595089962,0.0287792404910037,6,
KLK12,ENSG00000186474,0.9712243978463708,0.0287756021536291,19,
SYNGR3,ENSG00000127561,0.9712292546752102,0.0287707453247899,16,
GDF15,ENSG00000130513,0.9712293958813778,0.0287706041186222,19,
MS4A5,ENSG00000166930,0.9712723043622048,0.028727695637795,11,
TYROBP,ENSG00000011600,0.9712900417863696,0.0287099582136302,19,
APOL5,ENSG00000128313,0.9712972412201404,0.0287027587798594,22,
CYTL1,ENSG00000170891,0.971310602992286,0.0286893970077143,4,
IQCF2,ENSG00000184345,0.9713183120754358,0.0286816879245641,3,
SIT1,ENSG00000137078,0.9713388834508878,0.0286611165491122,9,
C11orf96,ENSG00000187479,0.9713477322861884,0.0286522677138117,11,
CAPN12,ENSG00000182472,0.9713572751874529,0.0286427248125472,19,2.0
TREML4,ENSG00000188056,0.971366046965944,0.0286339530340559,6,
MCHR2,ENSG00000152034,0.9713784708732838,0.0286215291267161,6,
TSPAN16,ENSG00000130167,0.9713794418242824,0.0286205581757175,19,
IL7,ENSG00000104432,0.9713994679330448,0.0286005320669551,8,
NMUR2,ENSG00000132911,0.971423309176532,0.028576690823468,5,
OR5AU1,ENSG00000169327,0.971423316626218,0.0285766833737818,14,
F2RL2,ENSG00000164220,0.9714611838703736,0.0285388161296262,5,
PRAMEF14,ENSG00000204481,0.9714694393206896,0.0285305606793102,1,
KCNG2,ENSG00000178342,0.9714748158612976,0.0285251841387021,18,
OTUD3,ENSG00000169914,0.9714953747204936,0.0285046252795061,1,
KIF25,ENSG00000125337,0.971502169650058,0.028497830349942,6,
TFPI2,ENSG00000105825,0.9715151919548476,0.0284848080451525,7,
IFNK,ENSG00000147896,0.9715310340811556,0.0284689659188442,9,
MARCHF2,ENSG00000099785,0.971573112589308,0.0284268874106919,19,
CEACAM4,ENSG00000105352,0.9715822526249942,0.0284177473750058,19,
USP17L8,ENSG00000237038,0.9715874210886272,0.0284125789113726,8,
TMT1A,ENSG00000185432,0.9715875073275348,0.0284124926724651,12,
OR2D3,ENSG00000178358,0.971596469370095,0.028403530629905,11,
OR5K3,ENSG00000206536,0.9715985068615828,0.0284014931384171,3,
OR10G9,ENSG00000236981,0.9716186549252044,0.0283813450747957,11,
SIGLECL1,ENSG00000179213,0.9716434227432214,0.0283565772567787,19,
,ENSG00000289695,0.97167279634268,0.0283272036573202,12,
BBIP1,ENSG00000214413,0.9717191914033826,0.0282808085966175,10,
OR4F4,ENSG00000177693,0.971738355951444,0.028261644048556,15,
GOT1L1,ENSG00000169154,0.9717415823516962,0.0282584176483038,8,
MAS1,ENSG00000130368,0.9717474614744258,0.0282525385255741,6,
OR4Q3,ENSG00000182652,0.971758243596307,0.0282417564036928,14,
AQP8,ENSG00000103375,0.9717620162927888,0.0282379837072113,16,
RBM41,ENSG00000089682,0.9717672515422676,0.0282327484577324,X,
RIPPLY2,ENSG00000203877,0.971767872173821,0.028232127826179,6,
HGD,ENSG00000113924,0.9717823743979036,0.0282176256020962,3,
TECTA,ENSG00000109927,0.971783959599556,0.0282160404004441,11,2.0
SLC22A8,ENSG00000149452,0.9717846991784576,0.0282153008215423,11,
FAM90A22,ENSG00000285687,0.9717868772195282,0.0282131227804719,8,
CELA3B,ENSG00000219073,0.9717923755215736,0.0282076244784264,1,
RAET1E,ENSG00000164520,0.9718317389263992,0.0281682610736011,6,
ANO5,ENSG00000171714,0.9718395717052342,0.0281604282947657,11,
DZANK1,ENSG00000089091,0.971841780393144,0.028158219606856,20,
NRTN,ENSG00000171119,0.97184704720632,0.0281529527936799,19,
IGFL2,ENSG00000204866,0.9718519949940156,0.0281480050059844,19,
OR5M9,ENSG00000150269,0.9718523977318354,0.0281476022681646,11,
ZWINT,ENSG00000122952,0.9718541815129994,0.0281458184870007,10,
OR4D2,ENSG00000255713,0.9718566662057742,0.0281433337942258,17,
MS4A15,ENSG00000166961,0.9718586619490658,0.028141338050934,11,
RAMP2,ENSG00000131477,0.9718609504278752,0.0281390495721246,17,
CCL24,ENSG00000106178,0.9718647657667028,0.0281352342332973,7,
INHA,ENSG00000123999,0.9718667663265524,0.0281332336734475,2,
C20orf202,ENSG00000215595,0.971875993406478,0.0281240065935218,20,
B3GNT4,ENSG00000176383,0.9718822603917844,0.0281177396082153,12,
UNC5CL,ENSG00000124602,0.9718855201311176,0.0281144798688824,6,
GINS2,ENSG00000131153,0.971912406060042,0.028087593939958,16,
OR4C15,ENSG00000181939,0.9719132789773915,0.0280867210226084,11,
GPR4,ENSG00000177464,0.9719565629493522,0.0280434370506477,19,
MYF6,ENSG00000111046,0.9719717612719688,0.0280282387280312,12,
IFNA8,ENSG00000120242,0.9719817366142832,0.0280182633857169,9,
FAM90A7,ENSG00000285975,0.9719995119956636,0.0280004880043364,8,
OR4K17,ENSG00000176230,0.9720244201558365,0.0279755798441637,14,
TMCO4,ENSG00000162542,0.9720294505240976,0.0279705494759022,1,
IL17RC,ENSG00000163702,0.9720565342243572,0.0279434657756425,3,
NRN1,ENSG00000124785,0.9720638227842496,0.0279361772157504,6,
PLA2G4C,ENSG00000105499,0.9720720705925172,0.0279279294074827,19,
LYPD2,ENSG00000197353,0.9720724203928558,0.0279275796071441,8,
SCGB2B2,ENSG00000205209,0.9720868225011922,0.0279131774988078,19,
SRY,ENSG00000184895,0.9720913695632368,0.0279086304367631,Y,
C9orf40,ENSG00000135045,0.9721101293795604,0.0278898706204394,9,
EIF2AK1,ENSG00000086232,0.9721184446693474,0.0278815553306525,7,
OR4A8,ENSG00000225997,0.9721316671431428,0.0278683328568572,11,
CES4A,ENSG00000172824,0.9721447035543684,0.0278552964456316,16,
SCGB1D2,ENSG00000124935,0.9721786695545688,0.027821330445431,11,
C2orf72,ENSG00000204128,0.9721805242399364,0.0278194757600638,2,
C2CD4A,ENSG00000198535,0.97221274233862,0.0277872576613797,15,
OR9Q2,ENSG00000186513,0.9722253805321552,0.0277746194678448,11,
CELA3A,ENSG00000142789,0.9722489815756272,0.0277510184243726,1,
OR5A2,ENSG00000172324,0.972250698006502,0.0277493019934981,11,
SETMAR,ENSG00000170364,0.9722560505753765,0.0277439494246236,3,
TERB2,ENSG00000167014,0.9722722097743284,0.0277277902256717,15,2.0
CCDC74A,ENSG00000163040,0.972290550028317,0.0277094499716827,2,
NR0B2,ENSG00000131910,0.9723247746856936,0.0276752253143065,1,
CCL25,ENSG00000131142,0.9723251236508283,0.0276748763491715,19,
CCDC185,ENSG00000178395,0.9723266444035624,0.0276733555964376,1,
TSHB,ENSG00000134200,0.9723335785415144,0.0276664214584854,1,
TSPAN7,ENSG00000156298,0.972345695704452,0.0276543042955479,X,2.0
