Gene,Ensembl_ID,Probability_Class_0,Probability_Class_1,Chromosome,SFARI_Gene_Score
SPSB3,ENSG00000162032,0.94318074,0.056819253,16,
VGLL4,ENSG00000144560,0.94319487,0.056805138,3,
HOXD9,ENSG00000128709,0.9432363,0.05676369,2,
OPLAH,ENSG00000178814,0.9433751,0.056624874,8,
HOMER2,ENSG00000103942,0.94339174,0.056608267,15,
ACAP1,ENSG00000072818,0.9434291,0.05657087,17,
IRX2,ENSG00000170561,0.943446,0.056554027,5,
LRIF1,ENSG00000121931,0.9435166,0.056483373,1,
SEC16B,ENSG00000120341,0.9435207,0.05647927,1,
VPS11,ENSG00000160695,0.94354427,0.056455705,11,
TIPIN,ENSG00000075131,0.94354934,0.056450654,15,
SNTG2,ENSG00000172554,0.9435748,0.05642521,2,2.0
CDH6,ENSG00000113361,0.9436265,0.056373507,5,
TRIP13,ENSG00000071539,0.9436526,0.05634745,5,
ZIC4,ENSG00000174963,0.94366336,0.056336623,3,
BDNF,ENSG00000176697,0.94369125,0.05630873,11,
IGHV3-30,ENSG00000270550,0.94369304,0.056306947,14,
TAB3,ENSG00000157625,0.9437099,0.056290098,X,
HEATR3,ENSG00000155393,0.94375134,0.056248683,16,
PDZD7,ENSG00000186862,0.94378626,0.056213763,10,
C10orf71,ENSG00000177354,0.943799,0.056200963,10,
LPAR1,ENSG00000198121,0.94381046,0.056189544,9,
TWIST1,ENSG00000122691,0.943832,0.056168005,7,
RGS8,ENSG00000135824,0.94397134,0.056028653,1,
MACF1,ENSG00000127603,0.9440591,0.055940952,1,3.0
FBXW9,ENSG00000132004,0.94406027,0.055939745,19,
DDX11,ENSG00000013573,0.9441139,0.055886067,12,
TOLLIP,ENSG00000078902,0.94412965,0.05587038,11,
TBRG1,ENSG00000154144,0.94414103,0.05585899,11,
GTF2H2C,ENSG00000183474,0.9441784,0.055821586,5,
SPPL3,ENSG00000157837,0.9442233,0.0557767,12,
GJA9,ENSG00000131233,0.94426,0.055739973,1,
LIMS1,ENSG00000169756,0.9443934,0.055606607,2,
DNAJB1,ENSG00000132002,0.94440556,0.05559447,19,
GTF3C4,ENSG00000125484,0.9445358,0.055464182,9,
DONSON,ENSG00000159147,0.9445822,0.055417787,21,
WRNIP1,ENSG00000124535,0.94466925,0.05533075,6,
EFNB1,ENSG00000090776,0.9447561,0.05524392,X,
CCAR2,ENSG00000158941,0.9447593,0.055240706,8,
PCTP,ENSG00000141179,0.94483274,0.055167243,17,
AASDHPPT,ENSG00000149313,0.944847,0.055153,11,
SPANXD,ENSG00000196406,0.9448713,0.0551287,X,
PFKFB2,ENSG00000123836,0.94501424,0.054985758,1,
TACR3,ENSG00000169836,0.94506556,0.05493442,4,
POLR2G,ENSG00000168002,0.9450869,0.054913107,11,
SAAL1,ENSG00000166788,0.9451387,0.0548613,11,
ADPRHL1,ENSG00000153531,0.94514126,0.05485873,13,
PCDHB3,ENSG00000113205,0.94522756,0.054772418,5,
RNF146,ENSG00000118518,0.9452354,0.054764654,6,
RBM38,ENSG00000132819,0.94524753,0.05475245,20,
MIDN,ENSG00000167470,0.94524866,0.05475133,19,
MAP7D2,ENSG00000184368,0.9452881,0.054711882,X,
ATP6V0E1,ENSG00000113732,0.9453223,0.0546777,5,
PURG,ENSG00000172733,0.94538575,0.054614253,8,
FUS,ENSG00000089280,0.9454994,0.054500595,16,
OPRD1,ENSG00000116329,0.9455492,0.054450836,1,
L3MBTL1,ENSG00000185513,0.9455846,0.054415427,20,
GLI3,ENSG00000106571,0.94559014,0.05440988,7,
TENM4,ENSG00000149256,0.9456828,0.05431718,11,
FRMPD4,ENSG00000169933,0.9457466,0.054253396,X,
HSPA4,ENSG00000170606,0.9458208,0.054179218,5,
PAQR3,ENSG00000163291,0.94596064,0.054039374,4,
ZCCHC8,ENSG00000033030,0.94597214,0.054027867,12,
PCDHB14,ENSG00000120327,0.9460032,0.0539968,5,
FOXN3,ENSG00000053254,0.94601494,0.053985033,14,
PSMD8,ENSG00000099341,0.94607496,0.05392504,19,
FBP1,ENSG00000165140,0.94614893,0.053851087,9,
STARD9,ENSG00000159433,0.94618297,0.053817026,15,
SLC12A5,ENSG00000124140,0.9462021,0.05379792,20,2.0
ATP6V1C2,ENSG00000143882,0.9462377,0.053762287,2,
